# OpenSignals Text File Format
# {"00:07:80:3B:46:38": {"sensor": ["XYZ", "XYZ", "XYZ"], "device name": "00:07:80:3B:46:38", "column": ["nSeq", "DI", "x", "y", "z"], "sync interval": 2, "time": "16:17:57.162", "comments": "", "device connection": "BTH00:07:80:3B:46:38", "channels": [1, 2, 3], "date": "2016-6-30", "mode": 0, "digital IO": [0, 1], "firmware version": 772, "device": "biosignalsplux", "position": 0, "sampling rate": 100, "label": ["x", "y", "z"], "resolution": [16, 16, 16], "special": [{}, {}, {}]}}
# EndOfHeader
0	0	37216	31463	32680	
1	0	37353	31606	32775	
2	0	37736	31303	32861	
3	0	37864	31316	32647	
4	0	36726	30945	32858	
5	0	37432	31784	32534	
6	0	37456	31504	32862	
7	0	37172	32240	32569	
8	0	37409	31532	32732	
9	0	37106	31842	32455	
10	0	37568	31559	32745	
11	0	37712	31585	32566	
12	0	37474	31327	33050	
13	0	37624	31320	32644	
14	0	37304	31965	32684	
15	0	37548	31707	32538	
16	0	37574	31787	32620	
17	0	37644	31774	32653	
18	0	37432	31833	32684	
19	0	37538	31811	32655	
20	0	37505	31890	32680	
21	0	37952	31815	32985	
22	0	36920	32026	32212	
23	0	37576	31852	33074	
24	0	37296	31696	32711	
25	0	37344	31546	32711	
26	0	37152	31658	32896	
27	0	36795	31916	32512	
28	0	36984	31964	32529	
29	0	37394	32212	32804	
30	0	37308	32120	32742	
31	0	38016	32222	32725	
32	0	37754	32578	33040	
33	0	37572	32278	32624	
34	0	37592	32996	32794	
35	0	37444	32500	32721	
36	0	37092	32485	32549	
37	0	37082	32760	32578	
38	0	37292	32466	32426	
39	0	36920	32637	32749	
40	0	38020	32369	32775	
41	0	37616	32676	32356	
42	0	38278	32674	33504	
43	0	37334	32666	32376	
44	0	36826	33159	32668	
45	0	37882	32859	32666	
46	0	37818	32775	32592	
47	0	38056	32703	32196	
48	0	37228	32576	32580	
49	0	37510	32550	32597	
50	0	37584	32672	32632	
51	0	37576	32708	32627	
52	0	37586	32696	32595	
53	0	37858	32583	32636	
54	0	38781	31585	32694	
55	0	36810	33403	32408	
56	0	37912	32530	32509	
57	0	38344	31879	32745	
58	0	38552	31900	33124	
59	0	37059	32700	32872	
60	0	37008	33120	33157	
61	0	37344	32293	32792	
62	0	36892	32656	32976	
63	0	36824	32574	32749	
64	0	37240	32033	32757	
65	0	37890	33174	32443	
66	0	37628	32459	32480	
67	0	37920	32775	32680	
68	0	37664	32830	32582	
69	0	37452	32775	32608	
70	0	37478	32583	32519	
71	0	37392	32725	32583	
72	0	37440	32700	32592	
73	0	37506	32476	32647	
74	0	37528	32460	32647	
75	0	37545	32467	32608	
76	0	37544	32465	32639	
77	0	37508	32455	32642	
78	0	37504	32477	32644	
79	0	37542	32461	32616	
80	0	37544	32474	32645	
81	0	37548	32467	32593	
82	0	37540	32453	32612	
83	0	37544	32451	32632	
