# OpenSignals Text File Format
# {"00:07:80:3B:46:38": {"sensor": ["EMG", "EMG", "EMG", "EMG", "XYZ", "XYZ", "XYZ"], "device name": "00:07:80:3B:46:38", "column": ["nSeq", "DI", "FL", "BL", "FR", "BR", "Z", "Y", "X"], "sync interval": 2, "time": "13:58:53.471", "comments": "", "device connection": "BTH00:07:80:3B:46:38", "channels": [1, 2, 3, 4, 6, 7, 8], "date": "2016-6-24", "mode": 0, "digital IO": [0, 1], "firmware version": 772, "device": "biosignalsplux", "position": 0, "sampling rate": 100, "label": ["FL", "BL", "FR", "BR", "Z", "Y", "X"], "resolution": [16, 16, 16, 16, 16, 16, 16], "special": [{}, {}, {}, {}, {}, {}, {}]}}
# EndOfHeader
0	0	32722	32547	32567	32699	37172	34814	33556	
1	0	32804	32759	32550	32797	37217	34802	33563	
2	0	32706	32579	32666	32689	37196	34790	33538	
3	0	32758	32760	32652	32804	37179	34800	33535	
4	0	32772	32726	32690	32831	37175	34806	33541	
5	0	32758	32543	32657	32736	37203	34776	33547	
6	0	32741	32594	32525	32806	37177	34790	33548	
7	0	32760	32703	32647	32658	37190	34803	33561	
8	0	32795	32727	32667	32802	37207	34786	33573	
9	0	32830	32655	32702	32742	37185	34802	33551	
10	0	32844	32599	32670	32706	37191	34793	33552	
11	0	32820	32719	32582	32723	37203	34791	33551	
12	0	32646	32768	32791	32803	37199	34800	33551	
13	0	32456	32829	32891	32825	37211	34791	33520	
14	0	32839	32753	32530	32748	37185	34772	33528	
15	0	32884	32546	32559	32718	37191	34792	33527	
16	0	32775	32599	32587	32735	37196	34800	33549	
17	0	32764	32593	32621	32819	37191	34781	33557	
18	0	32738	32739	32606	32612	37207	34790	33545	
19	0	32840	32755	32583	32665	37202	34806	33523	
20	0	32800	32673	32692	32702	37220	34815	33551	
21	0	32770	32743	32714	32583	37191	34803	33573	
22	0	32746	32714	32575	32659	37199	34794	33561	
23	0	32746	32626	32647	32677	37181	34794	33545	
24	0	32795	32711	32647	32806	37218	34806	33542	
25	0	32793	32655	32553	32775	37191	34822	33566	
26	0	32785	32733	32714	32717	37203	34813	33547	
27	0	32793	32710	32667	32797	37207	34783	33559	
28	0	32763	32763	32545	32828	37161	34755	33542	
29	0	32818	32685	32711	32769	37223	34777	33531	
30	0	32775	32791	32529	32695	37196	34777	33520	
31	0	32870	32588	32662	32803	37185	34771	33515	
32	0	32762	32643	32663	32764	37181	34789	33526	
33	0	32732	32723	32578	32668	37191	34779	33526	
34	0	32768	32577	32562	32705	37207	34803	33529	
35	0	32725	32699	32654	32679	37174	34800	33543	
36	0	32740	32699	32654	32775	37225	34823	33538	
37	0	32792	32711	32749	32808	37241	34823	33512	
38	0	32716	32549	32642	32808	37220	34815	33533	
39	0	32744	32554	32625	32709	37170	34808	33550	
40	0	32798	32558	32486	32765	37200	34811	33535	
41	0	32788	32694	32711	32705	37201	34813	33541	
42	0	32730	32711	32556	32628	37203	34811	33542	
43	0	32708	32759	32756	32717	37217	34794	33566	
44	0	32747	32738	32498	32639	37204	34797	33536	
45	0	32738	32745	32698	32839	37203	34793	33540	
46	0	32736	32671	32588	32711	37214	34774	33552	
47	0	32846	32657	32797	32775	37202	34776	33531	
48	0	32786	32594	32742	32629	37202	34771	33538	
49	0	32768	32506	32731	32706	37196	34771	33524	
50	0	32752	32723	32682	32759	37202	34758	33525	
51	0	32804	32743	32728	32800	37219	34768	33557	
52	0	32768	32552	32706	32788	37202	34775	33556	
53	0	32790	32701	32555	32822	37211	34773	33565	
54	0	32825	32739	32671	32770	37217	34769	33550	
