TL, TR, BL, BR, TotalWeight, time 
  0.00;   0.01;   0.00;   0.00;   0.01; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.01;   0.00;   0.00;   0.01; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.01;   0.00;   0.00;   0.01; 1465995648.36
  0.00;   0.01;   0.00;   0.00;   0.01; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.36
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.37
  0.00;   0.01;   0.00;   0.00;   0.01; 1465995648.38
  0.00;   0.01;   0.00;   0.00;   0.01; 1465995648.39
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.40
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.41
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.42
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.43
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.44
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.45
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.46
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.47
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.48
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.49
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.51
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.51
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.53
  0.00;   0.00;   0.00;   0.00;   0.00; 1465995648.53
